experiment	train_dir	valid_dir	epoch	loss_avg	loss_min	loss_max	train_precision	train_recall	train_f1	valid_precision	valid_recall	valid_f1	time_1	time_2	time_3
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	0	0.908271430937431	0.2520793378353119	2.6919901371002197	0.0	0.0	0	-1	-1	-1	1852.7886219024658	991.2164421081543	0.0002009868621826172
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	1	0.7034455695133253	0.21991640329360962	1.3423134088516235	0.0	0.0	0	-1	-1	-1	1879.93940615654	901.7263338565826	0.0072290897369384766
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	2	0.65503512440141	0.20225098729133606	1.2538269758224487	0.0	0.0	0	-1	-1	-1	1874.3976900577545	871.6519160270691	0.00024700164794921875
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	3	0.619552822501113	0.18937857449054718	1.1883161067962646	0.0	0.0	0	-1	-1	-1	1815.4737451076508	869.6116428375244	0.0001761913299560547
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	4	0.5930124828963622	0.179310604929924	1.1402835845947266	0.0	0.0	0	-1	-1	-1	1824.7629761695862	877.1227190494537	0.0004458427429199219
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	5	0.5712794557536613	0.17114068567752838	1.1013646125793457	0.0	0.0	0	-1	-1	-1	1801.879858970642	876.2208631038666	0.00021004676818847656
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	6	0.5522704452378177	0.16425961256027222	1.0675450563430786	0.0	0.0	0	-1	-1	-1	1994.4729759693146	1000.9263498783112	0.0005650520324707031
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	7	0.5349665582859665	0.15702484548091888	1.0365617275238037	0.0	0.0	0	-1	-1	-1	1802.7327768802643	895.2113502025604	0.0004298686981201172
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	8	0.5187665587004398	0.15138399600982666	1.0073084831237793	0.0	0.0	0	-1	-1	-1	1797.1837320327759	869.2375321388245	0.00017189979553222656
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	9	0.5034198865141537	0.1475253850221634	0.9801003932952881	0.0	0.0	0	-1	-1	-1	1783.3816950321198	858.557208776474	0.00016999244689941406
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	10	0.48893424343559866	0.14048415422439575	0.9543876051902771	0.0	0.0	0	-1	-1	-1	1801.5135250091553	866.2310469150543	0.00018095970153808594
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	11	0.47523272214213147	0.1360771805047989	0.9292623996734619	0.0	0.0	0	-1	-1	-1	2001.3917429447174	866.3817348480225	0.00030112266540527344
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	12	0.46205116387036127	0.13193677365779877	0.904297411441803	0.0	0.0	0	-1	-1	-1	1820.8401310443878	866.2547099590302	0.0003440380096435547
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	13	0.44834360140487295	0.12816910445690155	0.8781290054321289	0.0	0.0	0	-1	-1	-1	1786.718162059784	862.7615330219269	0.0001850128173828125
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	14	0.43371304045585296	0.1243121474981308	0.8472026586532593	0.0	0.0	0	-1	-1	-1	1913.4824948310852	860.4567050933838	0.0002689361572265625
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	15	0.42171889816239866	0.12090974301099777	0.8214183449745178	0.0	0.0	0	-1	-1	-1	1826.6955962181091	988.5769579410553	0.000270843505859375
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	16	0.41188157835769273	0.11805922538042068	0.8024742603302002	0.0	0.0	0	-1	-1	-1	2101.834063053131	875.704216003418	0.0002570152282714844
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	17	0.40286909168673213	0.1154705360531807	0.7868446111679077	0.0	0.0	0	-1	-1	-1	1776.189372062683	840.9487838745117	0.0002880096435546875
ex/conll15st-s4-all-train	conll15st-train	conll15st-dev	18	0.39437142726428964	0.11297015845775604	0.7719069123268127	0.0	0.0	0	-1	-1	-1	1770.612755060196	861.697863817215	0.00017118453979492188
