experiment	train_dir	valid_dir	epoch	loss_avg	loss_min	loss_max	train_precision	train_recall	train_f1	valid_precision	valid_recall	valid_f1	time_1	time_2	time_3
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	0	0.08206951115737024	0.006741838064044714	0.7809613943099976	0.0	0.0	0	-1	-1	-1	1843.2000720500946	889.2843260765076	0.0005729198455810547
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	1	0.02059265413930047	0.004824511241167784	0.05639396980404854	0.0	0.0	0	-1	-1	-1	1966.7063598632812	902.1097180843353	0.00014400482177734375
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	2	0.020042645639847187	0.004471083637326956	0.05622659996151924	0.0	0.0	0	-1	-1	-1	1842.0882771015167	832.3176209926605	0.0001418590545654297
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	3	0.01990619566325553	0.00433124927803874	0.0561896450817585	0.0	0.0	0	-1	-1	-1	1816.447674036026	826.2129361629486	0.00016379356384277344
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	4	0.019848269910605766	0.0042588068172335625	0.05617738887667656	0.0	0.0	0	-1	-1	-1	1769.085032939911	832.6485180854797	0.00018405914306640625
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	5	0.019817467459807746	0.004215493332594633	0.056172363460063934	0.0	0.0	0	-1	-1	-1	1774.8604090213776	863.8730289936066	0.0001590251922607422
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	6	0.019798757969810624	0.0041872537694871426	0.0561697892844677	0.0	0.0	0	-1	-1	-1	1982.3886289596558	891.4844129085541	0.0001480579376220703
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	7	0.019786320398418294	0.004167719278484583	0.056168071925640106	0.0	0.0	0	-1	-1	-1	1790.2047379016876	825.0062499046326	0.0001621246337890625
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	8	0.019777483448063363	0.004153580404818058	0.05616668611764908	0.0	0.0	0	-1	-1	-1	1780.6935150623322	834.2146420478821	0.0001819133758544922
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	9	0.01977086902947559	0.004143008962273598	0.05616544932126999	0.0	0.0	0	-1	-1	-1	1768.5808131694794	835.4701359272003	0.0001659393310546875
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	10	0.019765696169738417	0.00413487758487463	0.05616430565714836	0.0	0.0	0	-1	-1	-1	1860.03453707695	834.412927865982	0.00017714500427246094
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	11	0.01976148379614052	0.004128437489271164	0.05616325885057449	0.0	0.0	0	-1	-1	-1	1751.7955000400543	868.0600621700287	0.00019502639770507812
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	12	0.019757899813069413	0.004123200662434101	0.0561622753739357	0.0	0.0	0	-1	-1	-1	1782.576689004898	840.8538119792938	0.00017690658569335938
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	13	0.01975467894491798	0.004118689801543951	0.05616147071123123	0.0	0.0	0	-1	-1	-1	1771.7581238746643	838.3548769950867	0.0002510547637939453
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	14	0.019751560347029427	0.004114324692636728	0.056161247193813324	0.0	0.0	0	-1	-1	-1	1763.7310509681702	829.2062730789185	0.0001709461212158203
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	15	0.019748306848074784	0.004109040834009647	0.05616364628076553	0.0	0.0	0	-1	-1	-1	1802.7114310264587	838.398384809494	0.00018095970153808594
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	16	0.019744912426846534	0.0041023301891982555	0.05617310479283333	0.0	0.0	0	-1	-1	-1	1821.5417602062225	1161.780366897583	0.00036406517028808594
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	17	0.01974156274520787	0.004096150863915682	0.05618707463145256	0.0	0.0	0	-1	-1	-1	1766.5576848983765	845.3224260807037	0.0002570152282714844
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	18	0.019738243164297113	0.00409159529954195	0.05619749426841736	0.0	0.0	0	-1	-1	-1	2017.0577960014343	827.8476800918579	0.0003390312194824219
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	19	0.019734718692419943	0.004088451620191336	0.05620257183909416	0.0	0.0	0	-1	-1	-1	1753.2714281082153	830.8257369995117	0.00016999244689941406
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	20	0.01973069218776381	0.004086525645107031	0.056203693151474	0.0	0.0	0	-1	-1	-1	1846.8861148357391	827.948783159256	0.0007009506225585938
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	21	0.019726035742146496	0.0040855188854038715	0.05620162934064865	0.0	0.0	0	-1	-1	-1	1782.262386083603	848.5265629291534	0.0009551048278808594
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	22	0.01972119386563823	0.0040849121287465096	0.056200526654720306	0.0	0.0	0	-1	-1	-1	1748.0572748184204	823.00119805336	0.00019812583923339844
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	23	0.01971630128142992	0.004084098152816296	0.05620231479406357	0.0	0.0	0	-1	-1	-1	1845.5814208984375	829.8521690368652	0.0001780986785888672
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	24	0.019710890674260587	0.004083388019353151	0.05620521306991577	0.0	0.0	0	-1	-1	-1	1831.1358981132507	833.1640799045563	0.00017714500427246094
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	25	0.019704386817042886	0.004082896746695042	0.056207604706287384	0.0	0.0	0	-1	-1	-1	1819.1210939884186	823.4313728809357	0.0006840229034423828
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	26	0.01969595316812362	0.004083547741174698	0.056207336485385895	0.0	0.0	0	-1	-1	-1	1779.0626411437988	825.4364380836487	0.00017881393432617188
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	27	0.01968415121907876	0.004085587337613106	0.05620046705007553	0.0	0.0	0	-1	-1	-1	1764.187089920044	831.4411909580231	0.0001800060272216797
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	28	0.019667805334449052	0.004083854611963034	0.05619854852557182	0.0	0.0	0	-1	-1	-1	1759.6571729183197	834.2315871715546	0.00017189979553222656
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	29	0.019645185202908113	0.004080393351614475	0.05620582774281502	0.0	0.0	0	-1	-1	-1	1891.9620568752289	842.748645067215	0.00017189979553222656
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	30	0.019607142961563854	0.004086501430720091	0.05619732663035393	0.0	0.0	0	-1	-1	-1	1765.056659936905	823.1531779766083	0.0001780986785888672
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	31	0.019534778257698126	0.004081950522959232	0.056220389902591705	0.0	0.0	0	-1	-1	-1	1788.370834827423	825.5056900978088	0.00017189979553222656
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	32	0.019423775804975625	0.004069310612976551	0.05599586293101311	0.0	0.0	0	-1	-1	-1	1770.7330799102783	835.2504851818085	0.0001709461212158203
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	33	0.01922504742499207	0.004007804207503796	0.055412113666534424	0.0	0.0	0	-1	-1	-1	1873.4400660991669	924.0732498168945	0.00017213821411132812
ex/conll15st-s4-4paird2-train	conll15st-train	conll15st-dev	34	0.01885619168483069	0.003834690898656845	0.05418515205383301	0.0	0.0	0	-1	-1	-1	1783.6445000171661	843.554025888443	0.0003509521484375
